Date,SPY,IWM
4/2/2001,88.68,36.79
4/3/2001,85.72,35.54
4/4/2001,86.07,35.66
4/5/2001,89.34,37.38
4/6/2001,87.98,36.33
4/9/2001,88.96,37.13
4/10/2001,90.58,38.01
4/11/2001,90.64,37.76
4/12/2001,92.29,38.22
4/16/2001,91.32,37.53
4/17/2001,92.6,38.14
4/18/2001,96.29,39.25
4/19/2001,97.57,39.69
4/20/2001,96.67,39.23
4/23/2001,94.92,38.52
4/24/2001,94.41,38.81
4/25/2001,95.64,39.65
4/26/2001,96.07,40.22
4/27/2001,97.67,40.74
4/30/2001,98.35,40.79
5/1/2001,98.65,41.29
5/2/2001,98.47,41.19
5/3/2001,97.22,40.68
5/4/2001,98.88,41.25
5/7/2001,98.02,41
5/8/2001,97.98,41.21
5/9/2001,97.57,40.95
5/10/2001,97.85,41
5/11/2001,97.18,40.75
5/14/2001,97.37,40.74
5/15/2001,97.82,41.14
5/16/2001,100.13,41.93
5/17/2001,100.28,42.37
5/18/2001,100.74,42.53
5/21/2001,102.23,43.27
5/22/2001,102.09,43.48
5/23/2001,100.36,42.47
5/24/2001,100.66,42.91
5/25/2001,99.47,42.59
5/29/2001,98.68,42.05
5/30/2001,97.29,41.5
5/31/2001,97.8,41.67
6/1/2001,98.41,42.16
6/4/2001,98.88,42.71
6/5/2001,100.01,43.31
6/6/2001,99.18,43.04
6/7/2001,99.54,43.22
6/8/2001,98.61,42.97
6/11/2001,97.92,42.4
6/12/2001,97.75,42.5
6/13/2001,96.91,42.44
6/14/2001,94.73,41.38
6/15/2001,94.88,41.64
6/18/2001,94.43,41.32
6/19/2001,94.84,41.19
6/20/2001,95.34,41.68
6/21/2001,96.42,41.74
6/22/2001,95.66,40.98
6/25/2001,94.78,40.7
6/26/2001,94.65,41.32
6/27/2001,94.6,41.72
6/28/2001,95.12,42.25
6/29/2001,95.47,42.97
7/2/2001,96.66,42
7/3/2001,96.64,41.74
7/5/2001,94.75,41.19
7/6/2001,92.7,40.44
7/9/2001,93.21,40.82
7/10/2001,92.09,40.06
7/11/2001,92.18,40.06
7/12/2001,94.37,41.04
7/13/2001,95.19,41.24
7/16/2001,94,40.54
7/17/2001,94.88,41.34
7/18/2001,94.23,40.56
7/19/2001,95.06,40.9
7/20/2001,94.49,40.9
7/23/2001,92.63,40.6
7/24/2001,91.73,39.93
7/25/2001,92.74,40.16
7/26/2001,93.72,40.75
7/27/2001,94.08,40.69
7/30/2001,94.11,40.63
7/31/2001,94.5,40.57
8/1/2001,95.09,41.19
8/2/2001,95.48,41.07
8/3/2001,94.95,40.96
8/6/2001,93.68,40.39
8/7/2001,94.04,40.44
8/8/2001,92.3,39.53
8/9/2001,92.57,39.93
8/10/2001,92.89,39.89
8/13/2001,92.91,40.22
8/14/2001,92.88,40.35
8/15/2001,92.07,40.3
8/16/2001,92.39,40.56
8/17/2001,90.91,39.93
8/20/2001,91.75,40.37
8/21/2001,90.19,39.68
8/22/2001,91.12,40.2
8/23/2001,90.8,39.68
8/24/2001,92.68,40.52
8/27/2001,92.13,40.37
8/28/2001,90.78,39.93
8/29/2001,89.97,39.76
8/30/2001,88.24,39.26
8/31/2001,88.89,39.59
9/4/2001,88.32,39.21
9/5/2001,88.54,38.94
9/6/2001,86.26,38.03
9/7/2001,84.66,37.33
9/10/2001,85.7,37.04
9/17/2001,81.22,35.21
9/18/2001,81.02,34.64
9/19/2001,79.39,33.8
9/20/2001,76.87,32.51
9/21/2001,76.04,31.9
9/24/2001,78.71,32.89
9/25/2001,79.53,33.29
9/26/2001,79.25,32.8
9/27/2001,79.94,33.32
9/28/2001,81.63,33.82
10/1/2001,81.5,33.64
10/2/2001,82.52,34.01
10/3/2001,83.91,34.79
10/4/2001,83.98,35.13
10/5/2001,83.81,34.96
10/8/2001,83.27,34.64
10/9/2001,82.82,34.35
10/10/2001,84.67,35.55
10/11/2001,85.98,36.12
10/12/2001,85.59,36.01
10/15/2001,85.43,36.14
10/16/2001,85.97,36.63
10/17/2001,84.14,35.59
10/18/2001,83.96,35.36
10/19/2001,83.91,35.8
10/22/2001,85.56,36.12
10/23/2001,85.13,35.89
10/24/2001,84.9,36.12
10/25/2001,86.42,36.92
10/26/2001,86.23,36.92
10/29/2001,83.99,36.18
10/30/2001,82.98,35.42
10/31/2001,82.7,36.01
11/1/2001,84.81,36.65
11/2/2001,85.39,36.39
11/5/2001,86.51,36.92
11/6/2001,87.85,37.45
11/7/2001,87.74,37.2
11/8/2001,88.01,37.11
11/9/2001,88.1,36.99
11/12/2001,87.57,37.14
11/13/2001,89.54,37.81
11/14/2001,89.62,38.19
11/15/2001,89.79,38.05
11/16/2001,89.39,38.08
11/19/2001,90.49,38.51
11/20/2001,89.73,38.29
11/21/2001,89.14,38.16
11/23/2001,90.42,38.71
11/26/2001,90.61,38.91
11/27/2001,90.22,38.79
11/28/2001,88.59,38.11
11/29/2001,89.79,39.23
11/30/2001,89.14,38.76
12/3/2001,88.61,38.51
12/4/2001,90.11,39.4
12/5/2001,91.76,40.27
12/6/2001,91.72,40.84
12/7/2001,91.11,40.53
12/10/2001,89.4,39.83
12/11/2001,89.22,40.06
12/12/2001,89.32,40.12
12/13/2001,87.59,39.4
12/14/2001,88.43,39.85
12/17/2001,89.34,40.62
12/18/2001,89.87,40.98
12/19/2001,90.5,40.66
12/20/2001,89.61,40.02
12/21/2001,90.16,40.83
12/24/2001,89.98,41.02
12/26/2001,90.48,41.38
12/27/2001,91.03,41.55
12/28/2001,90.98,41.59
12/31/2001,89.65,40.89
1/2/2002,90.61,41.27
1/3/2002,91.64,41.84
1/4/2002,92.25,42.21
1/7/2002,91.6,41.53
1/8/2002,91.39,42.02
1/9/2002,90.64,41.59
1/10/2002,91.04,41.85
1/11/2002,90.15,41.34
1/14/2002,89.58,40.72
1/15/2002,90.31,41
1/16/2002,88.49,40.17
1/17/2002,89.15,40.36
1/18/2002,88.75,39.85
1/22/2002,88.13,39.6
1/23/2002,88.81,40.15
1/24/2002,89.08,40.47
1/25/2002,89.06,40.44
1/28/2002,89.3,40.7
1/29/2002,86.49,39.99
1/30/2002,87.74,40.49
1/31/2002,88.77,40.83
2/1/2002,88.35,40.6
2/4/2002,86.16,39.64
2/5/2002,85.62,39.49
2/6/2002,85.25,39.05
2/7/2002,84.72,38.54
2/8/2002,86.35,39.56
2/11/2002,87.4,39.73
2/12/2002,87.13,39.82
2/13/2002,88.05,40.19
2/14/2002,87.89,39.68
2/15/2002,86.97,39.62
2/19/2002,85.3,38.86
2/20/2002,86.74,39.51
2/21/2002,84.94,38.67
2/22/2002,85.99,39.37
2/25/2002,87.41,39.61
2/26/2002,87.23,39.8
2/27/2002,87.57,39.98
2/28/2002,87.18,39.56
3/1/2002,89.21,40.53
3/4/2002,90.78,41.17
3/5/2002,90.49,41.26
3/6/2002,91.57,41.76
3/7/2002,91.37,41.81
3/8/2002,91.76,42.23
3/11/2002,91.95,42.24
3/12/2002,91.9,42.17
3/13/2002,91.01,41.81
3/14/2002,90.89,42
3/15/2002,91.75,42.17
3/18/2002,91.77,42.41
3/19/2002,92.38,42.68
3/20/2002,90.64,42.01
3/21/2002,90.68,42.72
3/22/2002,90.49,42.41
3/25/2002,89.36,41.89
3/26/2002,89.88,42.36
3/27/2002,90.12,42.76
3/28/2002,90.08,42.53
4/1/2002,90.12,42.58
4/2/2002,89.62,42.31
4/3/2002,88.99,42
4/4/2002,88.62,42.17
4/5/2002,88.64,42.11
4/8/2002,88.83,42.64
4/9/2002,88.2,42.48
4/10/2002,89.2,43.3
4/11/2002,86.99,42.61
4/12/2002,87.64,43.55
4/15/2002,86.97,43.24
4/16/2002,89.04,44.32
4/17/2002,88.85,43.95
4/18/2002,88.46,43.76
4/19/2002,88.79,43.72
4/22/2002,87.31,43.15
4/23/2002,86.93,43.3
4/24/2002,86.06,42.93
4/25/2002,86.1,43.05
4/26/2002,84.47,42.22
4/29/2002,84.05,42.35
4/30/2002,84.84,43.04
5/1/2002,85.88,43.34
5/2/2002,85.55,43.49
5/3/2002,84.62,43.3
5/6/2002,82.96,42.47
5/7/2002,82.67,42.16
5/8/2002,85.74,43.17
5/9/2002,84.75,42.39
5/10/2002,83.16,41.7
5/13/2002,84.85,42.24
5/14/2002,86.69,43.51
5/15/2002,86.36,43.47
5/16/2002,86.8,42.96
5/17/2002,87.23,43.09
5/20/2002,86.29,42.54
5/21/2002,85.5,41.9
5/22/2002,85.69,41.64
5/23/2002,86.6,42.47
5/24/2002,85.49,41.8
5/28/2002,85.03,41.69
5/29/2002,84.4,41.16
5/30/2002,84.16,41.31
5/31/2002,84.33,41
6/3/2002,82.09,40.05
6/4/2002,82.3,40.06
6/5/2002,83.07,40.2
6/6/2002,81.38,39.42
6/7/2002,81.28,39.77
6/10/2002,81.6,39.73
6/11/2002,80.2,39.09
6/12/2002,80.69,39.22
6/13/2002,79.88,38.67
6/14/2002,79.76,38.98
6/17/2002,81.9,39.89
6/18/2002,82.57,40
6/19/2002,80.64,39.2
6/20/2002,79.61,39.11
6/21/2002,78.36,39.03
6/24/2002,78.77,38.9
6/25/2002,77.01,38.35
6/26/2002,77.13,38.33
6/27/2002,78.48,39.07
6/28/2002,78.11,38.62
7/1/2002,76.59,37.83
7/2/2002,74.96,36.7
7/3/2002,75.39,36.26
7/5/2002,78.39,37.46
7/8/2002,77.41,36.68
7/9/2002,75.46,36.54
7/10/2002,72.71,35.54
7/11/2002,73.3,35.26
7/12/2002,72.5,34.96
7/15/2002,72.89,34.74
7/16/2002,71.48,34.51
